layer	head	probe	baseline	ablated_acc	drop	macro_f1
9	6	spatial	0.1353	0.1330	+0.0022	0.1291
9	7	clean	0.1242	0.1242	+0.0000	0.1259
9	7	texture	0.1242	0.1197	+0.0044	0.1188
9	7	shape	0.1131	0.1153	-0.0022	0.1225
9	7	spatial	0.1353	0.1264	+0.0089	0.1236
9	8	clean	0.1242	0.1242	+0.0000	0.1247
9	8	texture	0.1242	0.1242	+0.0000	0.1216
9	8	shape	0.1131	0.1153	-0.0022	0.1193
9	8	spatial	0.1353	0.1330	+0.0022	0.1264
9	9	clean	0.1242	0.1308	-0.0067	0.1323
9	9	texture	0.1242	0.1197	+0.0044	0.1178
9	9	shape	0.1131	0.1064	+0.0067	0.1135
9	9	spatial	0.1353	0.1286	+0.0067	0.1257
9	10	clean	0.1242	0.1220	+0.0022	0.1208
9	10	texture	0.1242	0.1153	+0.0089	0.1124
9	10	shape	0.1131	0.1042	+0.0089	0.1079
9	10	spatial	0.1353	0.1308	+0.0044	0.1276
9	11	clean	0.1242	0.1308	-0.0067	0.1308
9	11	texture	0.1242	0.1153	+0.0089	0.1122
9	11	shape	0.1131	0.1109	+0.0022	0.1177
9	11	spatial	0.1353	0.1330	+0.0022	0.1324
10	0	clean	0.1242	0.1175	+0.0067	0.1186
10	0	texture	0.1242	0.1175	+0.0067	0.1173
10	0	shape	0.1131	0.1064	+0.0067	0.1156
10	0	spatial	0.1353	0.1264	+0.0089	0.1235
10	1	clean	0.1242	0.1197	+0.0044	0.1187
10	1	texture	0.1242	0.1264	-0.0022	0.1234
10	1	shape	0.1131	0.1109	+0.0022	0.1174
10	1	spatial	0.1353	0.1264	+0.0089	0.1225
10	2	clean	0.1242	0.1220	+0.0022	0.1209
10	2	texture	0.1242	0.1153	+0.0089	0.1156
10	2	shape	0.1131	0.1042	+0.0089	0.1099
